,Date,Rainfall_Simignano,Rainfall_Montalcinello,Rainfall_Monticiano_la_Pineta,Rainfall_Sovicille,Rainfall_Scorgiano,Rainfall_Pentolina,Rainfall_Monteroni_Arbia_Biena,Depth_to_Groundwater_Podere_Casetta,Temperature_Siena_Poggio_al_Vento,Temperature_Mensano,Temperature_Pentolina,Temperature_Monteroni_Arbia_Biena,Volume_Pozzo_1,Volume_Pozzo_3,Volume_Pozzo_4
2999,18/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,10.3,9.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
3000,19/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,9.4,10.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3001,20/03/2008,2.6,7.0,0.0,2.8,0.0,0.0,0.0,-8.7,0.0,0.0,4.9,3.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3002,21/03/2008,3.8,17.0,0.0,10.8,0.0,0.0,0.0,-8.7,0.0,0.0,4.8,3.85,-160.68437663964536,-147.77313359782198,-135.2146632948606
3003,22/03/2008,27.2,8.0,0.0,10.2,0.0,0.0,0.0,-8.6,0.0,0.0,7.15,7.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3004,23/03/2008,0.0,19.6,0.0,12.6,0.0,0.0,0.0,-8.6,0.0,0.0,3.45,3.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
3005,24/03/2008,25.8,2.6,0.0,1.4,0.0,0.0,0.0,-8.6,0.0,0.0,4.35,5.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3006,25/03/2008,1.6,1.4,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,5.85,6.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
3007,26/03/2008,1.2,1.0,0.0,1.4,0.0,0.0,0.0,-8.6,0.0,0.0,8.35,8.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3008,27/03/2008,0.0,8.6,0.0,8.4,0.0,0.0,0.0,-8.6,0.0,0.0,8.6,9.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3009,28/03/2008,7.2,2.6,0.0,1.6,0.0,0.0,0.0,-8.6,0.0,0.0,9.35,9.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3010,29/03/2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,10.7,9.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3011,30/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,12.45,11.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3012,31/03/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,11.75,10.85,-160.68437663964536,-147.77313359782198,-135.2146632948606
3013,01/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,14.3,11.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3014,02/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,13.55,11.75,-160.68437663964536,-147.77313359782198,-135.2146632948606
3015,03/04/2008,0.0,2.4,0.0,0.6,0.0,0.0,0.0,-8.6,0.0,0.0,10.2,8.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3016,04/04/2008,3.6,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,8.9,8.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
3017,05/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,10.05,8.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3018,06/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,10.15,8.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3019,07/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.6,0.0,0.0,11.45,13.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3020,08/04/2008,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-8.6,0.0,0.0,11.5,11.7,-160.68437663964536,-147.77313359782198,-135.2146632948606
3021,09/04/2008,1.6,0.4,0.0,0.2,0.0,0.0,0.0,-8.7,0.0,0.0,11.4,11.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3022,10/04/2008,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,14.55,17.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3023,11/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,14.05,16.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3024,12/04/2008,7.6,5.8,0.0,5.0,0.0,0.0,0.0,-8.7,0.0,0.0,10.05,11.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3025,13/04/2008,2.6,1.2,0.0,4.2,0.0,0.0,0.0,-8.7,0.0,0.0,10.55,10.45,-160.68437663964536,-147.77313359782198,-135.2146632948606
3026,14/04/2008,4.6,3.8,0.0,4.8,0.0,0.0,0.0,-8.7,0.0,0.0,10.25,9.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3027,15/04/2008,8.0,13.0,0.0,7.0,0.0,0.0,0.0,-8.7,0.0,0.0,7.7,7.85,-160.68437663964536,-147.77313359782198,-135.2146632948606
3028,16/04/2008,8.4,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,10.4,10.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3029,17/04/2008,0.0,0.8,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,10.55,11.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3030,18/04/2008,9.4,14.8,0.0,5.0,0.0,0.0,0.0,-8.7,0.0,0.0,11.0,12.75,-160.68437663964536,-147.77313359782198,-135.2146632948606
3031,19/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,13.75,13.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
3032,20/04/2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,13.1,12.85,-160.68437663964536,-147.77313359782198,-135.2146632948606
3033,21/04/2008,9.0,10.0,0.0,9.6,0.0,0.0,0.0,-8.7,0.0,0.0,11.2,12.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
3034,22/04/2008,1.2,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,10.3,11.05,-160.68437663964536,-147.77313359782198,-135.2146632948606
3035,23/04/2008,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,13.3,13.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3036,24/04/2008,0.0,0.2,0.0,13.8,0.0,0.0,0.0,-8.7,0.0,0.0,13.55,13.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3037,25/04/2008,1.2,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,14.7,13.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3038,26/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,13.7,12.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3039,27/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,14.2,12.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
3040,28/04/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,13.85,12.45,-160.68437663964536,-147.77313359782198,-135.2146632948606
3041,29/04/2008,3.8,2.0,0.0,3.2,0.0,0.0,0.0,-8.7,0.0,0.0,11.6,13.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3042,30/04/2008,0.6,0.2,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,12.75,13.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3043,01/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,14.45,12.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3044,02/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,14.35,13.05,-160.68437663964536,-147.77313359782198,-135.2146632948606
3045,03/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,17.7,14.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3046,04/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.7,0.0,0.0,18.55,15.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
3047,05/05/2008,0.0,0.6,0.0,3.4,0.0,0.0,0.0,-8.7,0.0,0.0,13.45,12.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
3048,06/05/2008,4.8,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,12.95,12.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3049,07/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,15.7,14.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3050,08/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,15.75,14.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
3051,09/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,16.25,14.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3052,10/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,16.95,14.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
3053,11/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,16.65,14.85,-160.68437663964536,-147.77313359782198,-135.2146632948606
3054,12/05/2008,0.0,1.6,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,14.7,15.7,-160.68437663964536,-147.77313359782198,-135.2146632948606
3055,13/05/2008,0.8,8.8,0.0,4.2,0.0,0.0,0.0,-8.8,0.0,0.0,15.1,15.6,-160.68437663964536,-147.77313359782198,-135.2146632948606
3056,14/05/2008,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,16.15,16.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3057,15/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,14.8,15.6,-160.68437663964536,-147.77313359782198,-135.2146632948606
3058,16/05/2008,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,15.25,15.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3059,17/05/2008,1.0,0.6,0.0,1.2,0.0,0.0,0.0,-8.8,0.0,0.0,16.55,19.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3060,18/05/2008,11.2,9.2,0.0,14.0,0.0,0.0,0.0,-8.8,0.0,0.0,15.75,16.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3061,19/05/2008,2.0,3.2,0.0,1.4,0.0,0.0,0.0,-8.8,0.0,0.0,14.55,15.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3062,20/05/2008,6.8,7.4,0.0,6.0,0.0,0.0,0.0,-8.8,0.0,0.0,12.0,15.05,-160.68437663964536,-147.77313359782198,-135.2146632948606
3063,21/05/2008,12.2,3.2,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,15.4,16.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
3064,22/05/2008,1.4,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,15.3,15.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3065,23/05/2008,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,14.85,14.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3066,24/05/2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,16.4,16.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3067,25/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,17.6,18.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3068,26/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.8,0.0,0.0,20.2,19.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3069,27/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,23.1,21.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3070,28/05/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,22.3,21.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
3071,29/05/2008,0.0,2.4,0.0,2.8,0.0,0.0,0.0,-8.9,0.0,0.0,18.2,18.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3072,30/05/2008,6.2,5.6,0.0,10.4,0.0,0.0,0.0,-8.9,0.0,0.0,14.8,16.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3073,31/05/2008,13.4,0.2,0.0,0.2,0.0,0.0,0.0,-8.9,0.0,0.0,17.4,19.45,-160.68437663964536,-147.77313359782198,-135.2146632948606
3074,01/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,17.9,18.45,-160.68437663964536,-147.77313359782198,-135.2146632948606
3075,02/06/2008,0.0,0.4,0.0,1.0,0.0,0.0,0.0,-8.9,0.0,0.0,16.0,16.6,-160.68437663964536,-147.77313359782198,-135.2146632948606
3076,03/06/2008,1.2,4.2,0.0,2.2,0.0,0.0,0.0,-8.9,0.0,0.0,16.35,16.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3077,04/06/2008,3.2,0.0,0.0,0.6,0.0,0.0,0.0,-8.9,0.0,0.0,16.1,16.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3078,05/06/2008,0.0,0.6,0.0,2.8,0.0,0.0,0.0,-8.9,0.0,0.0,15.5,17.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3079,06/06/2008,2.8,2.2,0.0,0.4,0.0,0.0,0.0,-8.9,0.0,0.0,16.2,17.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
3080,07/06/2008,0.4,1.2,0.0,1.2,0.0,0.0,0.0,-8.9,0.0,0.0,15.45,16.75,-160.68437663964536,-147.77313359782198,-135.2146632948606
3081,08/06/2008,0.8,6.2,0.0,1.6,0.0,0.0,0.0,-8.9,0.0,0.0,16.85,18.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
3082,09/06/2008,5.0,0.4,0.0,18.2,0.0,0.0,0.0,-8.9,0.0,0.0,18.2,19.15,-160.68437663964536,-147.77313359782198,-135.2146632948606
3083,10/06/2008,2.6,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,18.95,19.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3084,11/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,18.55,19.05,-160.68437663964536,-147.77313359782198,-135.2146632948606
3085,12/06/2008,0.0,13.4,0.0,4.6,0.0,0.0,0.0,-8.9,0.0,0.0,16.0,17.6,-160.68437663964536,-147.77313359782198,-135.2146632948606
3086,13/06/2008,22.8,0.2,0.0,14.0,0.0,0.0,0.0,-8.9,0.0,0.0,16.75,19.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
3087,14/06/2008,13.2,0.2,0.0,0.4,0.0,0.0,0.0,-8.9,0.0,0.0,15.8,15.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3088,15/06/2008,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,14.95,15.05,-160.68437663964536,-147.77313359782198,-135.2146632948606
3089,16/06/2008,0.4,0.0,0.0,0.2,0.0,0.0,0.0,-8.9,0.0,0.0,17.2,18.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
3090,17/06/2008,0.0,19.4,0.0,14.0,0.0,0.0,0.0,-8.9,0.0,0.0,18.1,18.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3091,18/06/2008,15.0,0.4,0.0,0.8,0.0,0.0,0.0,-8.9,0.0,0.0,18.85,20.75,-160.68437663964536,-147.77313359782198,-135.2146632948606
3092,19/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,19.8,20.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3093,20/06/2008,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,21.25,23.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3094,21/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,23.6,26.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3095,22/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,24.5,26.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3096,23/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,23.65,25.7,-160.68437663964536,-147.77313359782198,-135.2146632948606
3097,24/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.9,0.0,0.0,22.85,25.35,-160.68437663964536,-147.77313359782198,-135.2146632948606
3098,25/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,23.3,25.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
3099,26/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,23.45,25.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3100,27/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,23.35,25.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
3101,28/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,24.65,26.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3102,29/06/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,25.2,27.6,-160.68437663964536,-147.77313359782198,-135.2146632948606
3103,30/06/2008,0.0,0.0,0.0,8.0,0.0,0.0,0.0,-9.0,0.0,0.0,24.5,27.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3104,01/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,24.75,26.8,-160.68437663964536,-147.77313359782198,-135.2146632948606
3105,02/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,0.0,24.65,26.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
3106,03/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,0.0,23.0,25.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
3107,04/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,0.0,22.85,25.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
3108,05/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,0.0,21.6,23.45,-160.68437663964536,-147.77313359782198,-135.2146632948606
3109,06/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,0.0,22.25,24.45,-160.68437663964536,-147.77313359782198,-135.2146632948606
3110,07/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,0.0,23.4,25.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3111,08/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,19.9,22.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
3112,09/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.1,0.0,0.0,20.4,22.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
3113,10/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,21.2,23.4,-160.68437663964536,-147.77313359782198,-135.2146632948606
3114,11/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,21.55,24.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
3115,12/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,22.95,24.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3116,13/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,21.55,22.9,-160.68437663964536,-147.77313359782198,-135.2146632948606
3117,14/07/2008,0.4,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,19.25,22.2,-160.68437663964536,-147.77313359782198,-135.2146632948606
3118,15/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,20.65,22.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3119,16/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,21.25,23.45,-160.68437663964536,-147.77313359782198,-135.2146632948606
3120,17/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,20.5,22.3,-160.68437663964536,-147.77313359782198,-135.2146632948606
3121,18/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,22.0,24.0,-160.68437663964536,-147.77313359782198,-135.2146632948606
3122,19/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,21.85,24.1,-160.68437663964536,-147.77313359782198,-135.2146632948606
3123,20/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,22.4,24.25,-160.68437663964536,-147.77313359782198,-135.2146632948606
3124,21/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.2,0.0,0.0,22.95,24.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
3125,22/07/2008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,0.0,0.0,20.2,22.05,-160.68437663964536,-147.77313359782198,-135.2146632948606
3126,23/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,0.0,0.0,18.9,20.65,-160.68437663964536,-147.77313359782198,-135.2146632948606
3127,24/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,0.0,0.0,20.6,22.5,-160.68437663964536,-147.77313359782198,-135.2146632948606
3128,25/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,0.0,0.0,20.95,22.55,-160.68437663964536,-147.77313359782198,-135.2146632948606
3129,26/07/2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,0.0,0.0,21.65,23.95,-160.68437663964536,-147.77313359782198,-135.2146632948606
