Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
0.0,0.2,3.6633819951338147,2.6,1.8,-36.58,-50.52,-293.25,4.1,4.65,3.45,0.0,0.0,-5.906212279,-23.51014568
0.0,0.8,3.6633819951338147,2.6,4.4,-36.58,-50.52,-293.24,4.45,4.85,3.75,0.0,0.0,-5.906212279,-23.51014568
16.4,28.2,3.6633819951338147,31.0,26.6,-36.57,-50.51,-293.24,3.2,3.95,2.4,0.0,0.0,-5.906212279,-23.51014568
0.6,3.4,3.6633819951338147,3.4,9.4,-36.58,-50.51,-293.27,3.6,3.9,3.0,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.58,-50.52,-293.23,3.85,4.8,3.8,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.52,-293.21,1.1,2.4,0.95,0.0,0.0,-5.610901665,-22.3346384
0.0,0.0,3.6633819951338147,0.0,0.0,-36.6,-50.53,-293.17,0.4,0.1,0.1,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.6,-50.53,-293.2,0.65,-0.9,-0.3,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.6,-50.53,-293.23,0.35,0.75,0.45,0.0,0.0,-5.906212279,-23.51014568
0.0,0.0,3.6633819951338147,0.0,0.0,-36.59,-50.53,-293.29,1.5,0.95,0.5,0.0,0.0,-5.906212279,-23.51014568
21.6,38.9,3.6633819951338147,37.0,16.2,-36.57,-50.51,-293.44,2.6,2.65,1.85,0.0,0.0,-5.906212279,-23.51014568
9.0,0.0,3.6633819951338147,16.2,1.4,-36.57,-50.51,-293.39,3.15,2.2,1.55,0.0,0.0,-5.906212279,-23.51014568
12.8,11.6,3.6633819951338147,16.0,10.8,-36.57,-50.51,-293.33,-0.45,-0.05,-0.4,0.0,0.0,-6.14579533,-24.78507589
5.2,5.8,3.6633819951338147,3.8,0.0,-36.57,-50.51,-293.25,0.0,0.5,-1.0,0.0,0.0,-6.469258242,-26.08955357
2.4,7.2,3.6633819951338147,0.2,0.0,-36.58,-50.52,-293.24,0.15,0.35,-0.25,0.0,0.0,-6.469258242,-26.08955357
4.8,3.840963172804528,3.6633819951338147,20.0,2.2,-36.57,-50.51,-293.26,0.0,2.05,1.3,0.0,0.0,-6.469258242,-26.08955357
31.4,3.840963172804528,3.6633819951338147,47.2,25.8,-36.55,-50.5,-293.27,12.381622234826994,3.2,1.4,0.0,0.0,-6.469258242,-26.08955357
18.0,3.840963172804528,3.6633819951338147,16.4,23.4,-36.53,-50.48,-293.26,12.381622234826994,0.5,0.1,0.0,0.0,-6.469258242,-26.08955357
7.2,3.840963172804528,3.6633819951338147,5.0,13.6,-36.53,-50.49,-293.17,12.381622234826994,0.4,-1.6,0.0,0.0,-6.469258242,-26.08955357
0.4,3.840963172804528,3.6633819951338147,2.4,0.0,-36.54,-50.49,-293.21,12.381622234826994,0.25,-0.3,0.0,0.0,-6.14579533,-24.78507589
0.4,3.840963172804528,3.6633819951338147,0.8,3.8,-36.55,-50.5,-293.17,12.381622234826994,-1.4,-1.65,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.4,-36.56,-50.5,-293.15,12.381622234826994,5.8,5.3,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,9.0,-36.56,-50.51,-293.16,12.381622234826994,6.75,4.85,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.57,-50.51,-293.2,12.381622234826994,5.6,5.3,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.58,-50.52,-293.23,12.381622234826994,4.45,2.65,0.0,0.0,-6.469258242,-26.08955357
5.8,3.840963172804528,3.6633819951338147,0.0,3.6,-36.59,-50.53,-293.3,12.381622234826994,4.25,3.0,0.0,0.0,-6.469258242,-26.08955357
6.6,3.840963172804528,3.6633819951338147,9.4,8.0,-36.59,-50.53,-293.35,12.381622234826994,4.85,3.1,0.0,0.0,-6.14579533,-24.78507589
1.0,3.840963172804528,3.6633819951338147,6.2,8.8,-36.59,-50.53,-293.35,12.381622234826994,6.1,3.8,0.0,0.0,-6.469258242,-26.08955357
0.2,3.840963172804528,3.6633819951338147,0.8,5.6,-36.6,-50.54,-293.3,12.381622234826994,6.45,4.15,0.0,0.0,-6.469258242,-26.08955357
0.2,3.840963172804528,3.6633819951338147,0.0,0.0,-36.61,-50.55,-293.28,12.381622234826994,4.2,2.55,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.63,-50.56,-293.29,12.381622234826994,2.05,1.9,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.63,-50.56,-293.36,12.381622234826994,2.8,2.5,0.0,0.0,-6.469258242,-26.08955357
1.4,3.840963172804528,3.6633819951338147,4.0,1.8,-36.62,-50.55,-293.48,12.381622234826994,3.45,1.85,0.0,0.0,-6.469258242,-26.08955357
20.0,3.840963172804528,3.6633819951338147,18.0,25.8,-36.61,-50.54,-293.58,12.381622234826994,6.0,4.7,0.0,0.0,-6.14579533,-24.78507589
1.2,3.840963172804528,3.6633819951338147,1.6,7.0,-36.61,-50.54,-293.53,12.381622234826994,4.55,4.65,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.2,-36.6,-50.54,-293.55,12.381622234826994,7.1,5.15,0.0,0.0,-6.469258242,-26.08955357
12.0,3.840963172804528,3.6633819951338147,17.0,14.8,-36.6,-50.54,-293.53,12.381622234826994,4.5,2.6,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,1.4,-36.61,-50.54,-293.47,12.381622234826994,5.4,2.65,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.4,-36.61,-50.54,-293.48,12.381622234826994,4.15,4.1,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.62,-50.55,-293.46,12.381622234826994,4.25,3.65,0.0,0.0,-6.469258242,-26.08955357
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.62,-50.55,-293.45,12.381622234826994,4.05,3.45,0.0,0.0,-5.514932882,-22.43329605
0.0,3.840963172804528,3.6633819951338147,10.0,1.2,-36.62,-50.55,-293.48,12.381622234826994,8.45,7.4,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,2.4,0.2,-36.63,-50.56,-293.46,12.381622234826994,9.05,7.75,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.63,-50.56,-293.48,12.381622234826994,6.3,5.35,0.0,0.0,-5.805192508,-23.61399584
31.6,3.840963172804528,3.6633819951338147,38.0,15.8,-36.61,-50.55,-293.58,12.381622234826994,2.65,1.6,0.0,0.0,-5.805192508,-23.61399584
2.6,3.840963172804528,3.6633819951338147,0.0,0.0,-36.62,-50.55,-293.5,12.381622234826994,1.65,0.35,0.0,0.0,-5.805192508,-23.61399584
0.2,3.840963172804528,3.6633819951338147,0.0,0.0,-36.62,-50.55,-293.49,12.381622234826994,2.85,1.5,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,1.6,-36.62,-50.55,-293.52,12.381622234826994,3.0,2.5,0.0,0.0,-5.514932882,-22.43329605
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.62,-50.55,-293.53,12.381622234826994,3.85,3.2,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.2,-36.62,-50.55,-293.52,12.381622234826994,4.05,3.7,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.62,-50.55,-293.55,12.381622234826994,6.45,6.3,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.63,-50.55,-293.58,12.381622234826994,3.5,3.2,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.63,-50.55,-293.59,12.381622234826994,3.6,3.95,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.63,-50.56,-293.58,12.381622234826994,4.7,4.0,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.63,-50.56,-293.58,12.381622234826994,5.2,3.0,0.0,0.0,-5.514932882,-22.43329605
33.2,3.840963172804528,3.6633819951338147,59.4,29.2,-36.61,-50.54,-293.56,12.381622234826994,5.65,4.2,0.0,0.0,-5.805192508,-23.61399584
31.6,3.840963172804528,3.6633819951338147,53.6,61.8,-36.59,-50.53,-293.57,12.381622234826994,7.9,5.55,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,1.6,7.8,-36.58,-50.52,-293.58,12.381622234826994,6.7,6.05,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.58,-50.52,-293.59,12.381622234826994,7.4,6.7,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.58,-50.52,-293.59,12.381622234826994,6.25,6.25,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.58,-50.52,-293.62,12.381622234826994,5.9,5.6,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,1.2,1.8,-36.58,-50.51,-293.66,12.381622234826994,5.95,4.05,0.0,0.0,-5.514932882,-22.43329605
0.0,3.840963172804528,3.6633819951338147,0.0,0.2,-36.58,-50.52,-293.62,12.381622234826994,7.9,7.6,0.0,0.0,-5.805192508,-23.61399584
0.2,3.840963172804528,3.6633819951338147,2.4,2.2,-36.58,-50.51,-293.62,12.381622234826994,9.5,8.7,0.0,0.0,-5.805192508,-23.61399584
7.2,3.840963172804528,3.6633819951338147,14.2,13.0,-36.56,-50.5,-293.71,12.381622234826994,8.55,6.7,0.0,0.0,-5.805192508,-23.61399584
28.6,3.840963172804528,3.6633819951338147,66.2,62.2,-36.54,-50.48,-293.61,12.381622234826994,9.3,8.55,0.0,0.0,-5.805192508,-23.61399584
0.2,3.840963172804528,3.6633819951338147,2.6,1.8,-36.52,-50.47,-293.56,12.381622234826994,7.0,6.35,0.0,0.0,-5.805192508,-23.61399584
15.4,3.840963172804528,3.6633819951338147,8.2,7.0,-36.52,-50.47,-293.49,12.381622234826994,8.1,6.5,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.53,-50.47,-293.46,12.381622234826994,9.75,8.4,0.0,0.0,-5.514932882,-22.43329605
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.53,-50.47,-293.47,12.381622234826994,10.95,10.0,0.0,0.0,-5.805192508,-23.61399584
0.0,3.840963172804528,3.6633819951338147,0.0,0.0,-36.53,-50.48,-293.41,10.6,12.2,11.6,0.0,0.0,-5.805192508,-23.61399584
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.48,-293.37,10.65,10.0,9.75,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.48,-293.31,10.2,8.15,8.3,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.48,-293.28,7.6,7.4,6.85,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.48,-293.3,6.9,6.8,5.65,0.0,0.0,-6.268588889,-24.46752222
16.8,31.1,3.6633819951338147,31.0,18.6,-36.53,-50.47,-293.31,2.6,3.55,2.25,0.0,0.0,-5.955159444,-23.24414611
0.8,1.4,3.6633819951338147,0.6,2.0,-36.54,-50.48,-293.18,2.85,2.15,2.45,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.2,-36.55,-50.49,-293.07,1.55,2.15,1.5,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.2,0.2,-36.56,-50.49,-293.02,5.8,6.5,5.75,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.5,-292.99,8.9,8.0,7.15,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.5,-292.97,11.1,9.0,8.3,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.5,-292.96,8.45,6.25,6.95,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.57,-50.5,-292.93,10.1,9.6,8.9,0.0,0.0,-5.955159444,-23.24414611
0.0,0.2,3.6633819951338147,0.0,0.0,-36.57,-50.5,-292.89,12.45,10.9,10.95,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.57,-50.5,-292.88,15.4,13.0,13.45,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.57,-50.5,-292.87,14.95,12.95,12.85,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.5,-292.86,14.4,11.1,12.1,0.0,0.0,-6.268588889,-24.46752222
0.0,0.4,3.6633819951338147,0.6,0.4,-36.56,-50.49,-292.86,12.25,11.1,10.5,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.2,0.4,-36.56,-50.49,-292.85,11.6,11.55,10.6,0.0,0.0,-6.268588889,-24.46752222
0.0,0.2,3.6633819951338147,0.0,0.0,-36.56,-50.49,-292.79,8.35,9.65,7.95,0.0,0.0,-5.955159444,-23.24414611
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.49,-292.73,9.9,9.15,9.1,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.49,-292.65,13.05,12.2,11.8,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.49,-292.59,14.8,12.9,13.1,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.49,-292.6,12.2,10.9,10.8,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.49,-292.58,12.05,12.4,10.7,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.49,-292.51,12.1,11.4,10.1,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-292.49,14.6,11.9,11.6,0.0,0.0,-5.955159444,-23.24414611
1.2,0.6,3.6633819951338147,1.4,2.0,-36.55,-50.48,-292.5,10.0,9.1,8.75,0.0,0.0,-6.268588889,-24.46752222
27.0,36.0,3.6633819951338147,43.2,41.4,-36.54,-50.47,-292.47,9.6,10.15,9.65,0.0,0.0,-6.268588889,-24.46752222
0.8,1.2,3.6633819951338147,1.4,3.6,-36.55,-50.48,-292.33,11.75,10.6,10.15,0.0,0.0,-6.268588889,-24.46752222
7.0,4.2,3.6633819951338147,3.4,7.0,-36.55,-50.48,-292.26,10.75,9.75,9.6,0.0,0.0,-6.268588889,-24.46752222
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-292.23,10.25,8.9,8.9,0.0,0.0,-6.238022893,-23.52961498
0.2,0.4,3.6633819951338147,0.4,0.8,-36.55,-50.48,-292.22,13.6,14.45,13.45,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-292.17,14.5,13.45,13.7,0.0,0.0,-5.926121748,-22.35313424
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-292.12,17.85,16.35,18.3,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-292.1,20.7,18.8,19.3,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-292.05,20.4,19.45,18.95,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-292.01,18.4,15.95,16.05,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-291.98,16.6,14.45,14.3,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-291.95,16.0,15.35,14.75,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-291.88,16.8,15.45,15.45,0.0,0.0,-5.926121748,-22.35313424
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.49,-291.83,17.35,15.25,15.45,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.49,-291.8,18.2,16.75,16.55,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.48,-291.79,17.9,15.95,16.3,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.47,-291.87,17.65,14.25,15.75,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.47,-291.94,14.6,12.85,13.0,0.0,0.0,-6.238022893,-23.52961498
0.2,0.0,3.6633819951338147,0.2,0.2,-36.56,-50.47,-291.86,12.85,10.35,10.7,0.0,0.0,-6.238022893,-23.52961498
0.2,0.0,3.6633819951338147,0.0,0.6,-36.56,-50.47,-291.81,17.9,17.55,16.95,0.0,0.0,-5.926121748,-22.35313424
0.0,0.0,3.6633819951338147,0.0,0.0,-36.56,-50.47,-291.79,19.65,17.1,17.9,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.46,-291.79,17.9,16.95,16.25,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-36.55,-50.46,-291.75,14.05,13.3,12.55,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.2,-36.55,-50.46,-291.72,11.45,10.9,9.7,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-38.114999999999995,-50.46,-291.7,7.4,6.3,6.1,0.0,0.0,-6.238022893,-23.52961498
17.6,21.6,3.6633819951338147,22.2,27.4,-38.114999999999995,-50.45,-291.67,9.4,9.05,9.05,0.0,0.0,-6.238022893,-23.52961498
12.4,15.9,3.6633819951338147,14.0,14.4,-38.114999999999995,-50.45,-291.62,11.0,10.5,10.4,0.0,0.0,-5.926121748,-22.35313424
0.0,0.4,3.6633819951338147,1.6,1.8,-38.114999999999995,-50.45,-291.58,13.6,12.5,11.5,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-38.114999999999995,-50.45,-291.61,11.9,11.5,10.65,0.0,0.0,-6.238022893,-23.52961498
6.4,9.2,3.6633819951338147,6.2,0.8,-38.114999999999995,-50.45,-291.64,11.6,11.2,10.55,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-38.114999999999995,-50.46,-291.57,12.65,11.7,12.0,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-38.114999999999995,-50.45,-291.55,16.3,14.0,13.75,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-38.114999999999995,-50.45,-291.52,15.0,13.35,13.2,0.0,0.0,-6.238022893,-23.52961498
0.0,0.0,3.6633819951338147,0.0,0.0,-38.114999999999995,-50.45,-291.48,16.45,14.35,14.3,0.0,0.0,-5.926121748,-22.35313424
0.0,0.2,3.6633819951338147,5.0,0.0,-38.114999999999995,-50.45,-291.44,17.9,15.85,15.35,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,2.0,8.8,-38.114999999999995,-50.45,-291.41,17.65,16.25,16.3,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.45,-291.38,19.2,16.7,16.65,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.45,-291.36,20.55,20.0,19.45,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.45,-291.36,22.0,19.65,19.75,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.45,-291.33,22.65,20.15,20.0,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.0,-36.54,-50.44,-291.32,20.7,19.75,19.55,0.0,0.0,-5.488218793,-23.32171889
1.0,1.8,3.6633819951338147,2.0,7.2,-36.53,-50.44,-291.33,19.85,20.0,18.75,0.0,0.0,-5.777072414,-24.54917778
2.4,0.4,3.6633819951338147,0.8,17.0,-36.52,-50.43,-291.33,18.9,16.45,16.45,0.0,0.0,-5.777072414,-24.54917778
14.0,1.0,3.6633819951338147,8.0,16.8,-36.52,-50.43,-291.3,19.8,18.25,17.7,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.2,7.6,-36.52,-50.43,-291.28,20.8,18.25,18.2,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.4,-36.52,-50.43,-291.26,20.95,18.0,17.35,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.2,-36.52,-50.43,-291.25,20.5,18.15,17.9,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.2,0.4,-36.51,-50.43,-291.26,17.95,17.55,16.65,0.0,0.0,-5.488218793,-23.32171889
1.0,6.5,3.6633819951338147,7.4,8.8,-36.51,-50.43,-291.23,17.25,15.7,14.75,0.0,0.0,-5.777072414,-24.54917778
0.0,3.9,3.6633819951338147,6.4,4.2,-36.51,-50.42,-291.2,17.55,16.25,15.1,0.0,0.0,-5.777072414,-24.54917778
2.4,12.0,3.6633819951338147,8.0,10.6,-36.51,-50.42,-291.2,15.25,15.65,14.8,0.0,0.0,-5.777072414,-24.54917778
3.2,7.1,3.6633819951338147,6.2,3.2,-36.51,-50.42,-291.2,15.6,15.15,15.15,0.0,0.0,-5.777072414,-24.54917778
0.0,0.2,3.6633819951338147,0.0,0.0,-36.51,-50.42,-291.19,19.3,17.5,16.15,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.0,-36.5,-50.42,-291.17,16.65,15.4,15.15,0.0,0.0,-5.777072414,-24.54917778
7.0,8.0,3.6633819951338147,7.8,4.2,-36.51,-50.42,-291.12,15.6,15.0,14.4,0.0,0.0,-5.488218793,-23.32171889
0.0,0.0,3.6633819951338147,0.2,0.0,-36.51,-50.42,-291.09,18.15,15.8,15.4,0.0,0.0,-5.777072414,-24.54917778
0.0,0.0,3.6633819951338147,0.0,0.0,-36.5,-50.41,-291.11,19.55,18.5,17.5,0.0,0.0,-5.777072414,-24.54917778
0.6,3.2,3.6633819951338147,3.0,5.8,-36.51,-50.42,-291.08,15.65,14.4,14.5,0.0,0.0,-5.777072414,-24.54917778
