,Date,Rainfall_Bastia_Umbra,Depth_to_Groundwater_P24,Depth_to_Groundwater_P25,Temperature_Bastia_Umbra,Temperature_Petrignano,Volume_C10_Petrignano,Hydrometry_Fiume_Chiascio_Petrignano
1179,05/06/2009,0.0,-28.04,-27.41,21.6,20.5,-33308.928,2.1
1180,06/06/2009,0.0,-27.97,-27.36,22.5,21.4,-31509.216,2.1
1181,07/06/2009,0.0,-27.89,-27.33,19.7,19.0,-27584.928,2.1
1182,08/06/2009,0.0,-27.95,-27.34,20.2,18.9,-32270.4,2.1
1183,09/06/2009,0.0,-28.09,-27.44,20.4,18.8,-35788.608,2.1
1184,10/06/2009,0.0,-28.13,-27.48,21.1,20.1,-34417.44,2.1
1185,11/06/2009,0.0,-28.19,-27.53,21.7,20.1,-34823.52,2.1
1186,12/06/2009,0.0,-28.24,-27.55,23.0,21.9,-35604.576,2.0
1187,13/06/2009,0.0,-28.33,-27.62,25.0,23.7,-35769.6,2.0
1188,14/06/2009,0.0,-28.39,-27.69,25.7,24.4,-34889.184,2.0
1189,15/06/2009,0.0,-28.38,-27.7,25.7,24.3,-32884.704,2.0
1190,16/06/2009,0.0,-28.45,-27.73,25.3,23.4,-35172.576,2.0
1191,17/06/2009,0.0,-28.47,-27.77,24.0,23.1,-34560.0,2.0
1192,18/06/2009,0.0,-28.43,-27.73,24.6,24.5,-34406.208,2.0
1193,19/06/2009,0.0,-28.42,-27.72,25.6,24.4,-34634.304,2.0
1194,20/06/2009,0.3,-28.42,-27.69,22.1,20.9,-34755.264,2.0
1195,21/06/2009,0.0,-28.04,-27.53,19.1,18.5,-27006.912,2.0
1196,22/06/2009,0.0,-28.29,-27.59,16.9,16.7,-31282.848,2.0
1197,23/06/2009,0.0,-28.3,-27.59,16.1,15.9,-29637.792,2.0
1198,24/06/2009,0.0,-28.25,-27.57,18.6,18.2,-29886.624,2.0
1199,25/06/2009,0.0,-28.36,-27.65,21.0,20.2,-30101.76,2.0
1200,26/06/2009,0.0,-28.37,-27.68,20.0,19.1,-30630.528,2.1
1201,27/06/2009,0.0,-28.09,-27.52,18.3,17.7,-26386.56,2.1
1202,28/06/2009,0.0,-27.75,-27.32,20.9,20.0,-21718.368,2.1
1203,29/06/2009,0.0,-28.01,-27.44,22.4,21.6,-25818.912,2.1
1204,30/06/2009,0.0,-28.12,-27.44,23.2,22.8,-26946.432,2.1
1205,01/07/2009,0.0,-28.21,-27.5,23.4,22.9,-30447.36,2.1
1206,02/07/2009,0.0,-28.18,-27.53,21.9,21.3,-29782.08,2.1
1207,03/07/2009,0.0,-27.96,-27.4,23.4,22.9,-27918.432,2.1
1208,04/07/2009,0.0,-27.99,-27.39,23.8,22.8,-28571.616,2.1
1209,05/07/2009,0.5,-27.82,-27.32,22.5,21.8,-27768.096,2.1
1210,06/07/2009,0.0,-27.69,-27.24,23.9,23.1,-29214.432,2.1
1211,07/07/2009,0.0,-28.0,-27.34,25.6,24.7,-34172.064,2.1
1212,08/07/2009,0.0,-28.08,-27.42,25.0,24.1,-35798.112,2.2
1213,09/07/2009,0.0,-27.81,-27.36,23.1,21.6,-27018.144,2.4
1214,10/07/2009,0.0,-28.06,-27.43,22.8,21.6,-31210.272,2.4
1215,11/07/2009,0.0,-28.11,-27.48,21.3,20.7,-30891.456,2.3
1216,12/07/2009,0.0,-28.11,-27.5,22.8,22.0,-30033.504,2.2
1217,13/07/2009,0.0,-28.19,-27.54,25.2,23.5,-32832.0,2.0
1218,14/07/2009,0.0,-28.37,-27.66,27.1,25.6,-35405.856,2.0
1219,15/07/2009,0.0,-28.44,-27.72,27.3,25.9,-34732.8,2.0
1220,16/07/2009,0.0,-28.51,-27.79,28.2,26.9,-36070.272,2.0
1221,17/07/2009,0.0,-28.54,-27.81,28.3,27.1,-36928.224,2.0
1222,18/07/2009,1.3,-28.44,-27.77,23.3,22.5,-33789.312,2.0
1223,19/07/2009,0.0,-28.22,-27.67,23.0,21.7,-26523.936,2.0
1224,20/07/2009,0.0,-28.32,-27.76,24.0,22.3,-30224.448,2.0
1225,21/07/2009,0.0,-28.56,-27.85,24.1,22.7,-33954.336,2.0
1226,22/07/2009,0.0,-28.57,-27.89,26.7,25.0,-32545.152,2.0
1227,23/07/2009,0.0,-28.72,-27.96,28.4,26.8,-35135.424,2.0
1228,24/07/2009,0.0,-28.84,-28.03,31.1,29.8,-37614.24,2.0
1229,25/07/2009,0.0,-28.92,-28.11,27.7,26.4,-35068.032,2.0
1230,26/07/2009,0.0,-28.76,-28.07,26.1,25.7,-28933.632,2.0
1231,27/07/2009,0.0,-28.77,-28.05,26.5,25.7,-29835.648,1.9
1232,28/07/2009,0.0,-28.9,-28.12,27.4,25.6,-34833.888,1.9
1233,29/07/2009,0.0,-29.01,-28.19,26.9,26.1,-33927.552,1.9
1234,30/07/2009,0.0,-28.97,-28.21,28.1,27.0,-31152.384,1.9
1235,31/07/2009,0.0,-29.07,-28.26,28.3,27.1,-32915.808,2.0
1236,01/08/2009,0.0,-29.12,-28.3,28.0,26.5,-33610.464,2.0
1237,02/08/2009,0.0,-29.01,-28.29,27.2,25.7,-30353.184,2.0
1238,03/08/2009,3.4,-28.88,-28.23,21.6,20.8,-27946.944,2.0
1239,04/08/2009,43.7,-28.3,-28.0,21.0,20.6,-23658.048,2.1
1240,05/08/2009,0.0,-28.54,-28.01,22.7,22.3,-27252.288,2.0
1241,06/08/2009,0.0,-28.6,-27.97,23.9,23.4,-26917.92,2.1
1242,07/08/2009,0.0,-28.66,-28.02,24.9,24.5,-29763.072,2.1
1243,08/08/2009,0.0,-28.71,-28.03,25.2,25.2,-29871.072,2.0
1244,09/08/2009,0.1,-28.48,-28.03,23.9,23.1,-25907.04,2.0
1245,10/08/2009,0.0,-28.39,-27.96,23.9,23.2,-27028.512,2.0
1246,11/08/2009,0.0,-28.31,-27.9,25.1,24.5,-26040.096,2.0
1247,12/08/2009,0.0,-28.4,-27.92,25.6,25.1,-28872.288,2.1
1248,13/08/2009,0.0,-28.6,-28.0,25.2,24.4,-30657.312,2.2
1249,14/08/2009,0.0,-28.63,-28.04,25.9,25.4,-31202.496,2.1
1250,15/08/2009,0.0,-28.47,-28.03,27.0,26.3,-28127.52,2.0
1251,16/08/2009,0.0,-28.51,-28.01,27.7,26.7,-29150.496,2.1
1252,17/08/2009,0.0,-28.64,-28.06,25.9,24.8,-31790.016,2.2
1253,18/08/2009,0.0,-28.77,-28.17,26.8,26.6,-31699.296,2.2
1254,19/08/2009,0.0,-28.88,-28.21,27.3,27.0,-31979.232,2.1
1255,20/08/2009,0.0,-29.04,-28.25,27.6,27.0,-34706.88,2.0
1256,21/08/2009,0.0,-29.15,-28.32,28.1,27.1,-35823.168,2.0
1257,22/08/2009,0.0,-29.19,-28.36,28.0,27.0,-37257.408,2.0
1258,23/08/2009,0.0,-29.26,-28.42,26.5,25.8,-38312.352,2.0
1259,24/08/2009,0.0,-29.29,-28.43,26.2,26.3,-37975.392,2.0
1260,25/08/2009,0.0,-29.19,-28.38,26.1,25.4,-38477.376,2.0
1261,26/08/2009,0.0,-29.19,-28.41,27.5,26.8,-35919.936,2.0
1262,27/08/2009,0.0,-29.17,-28.41,26.8,26.2,-35485.344,2.0
1263,28/08/2009,0.0,-29.08,-28.35,27.1,26.3,-32427.648,2.0
1264,29/08/2009,0.0,-29.02,-28.32,26.6,25.4,-33238.944,2.0
1265,30/08/2009,0.0,-28.88,-28.3,24.9,24.3,-30521.664,2.0
1266,31/08/2009,0.0,-29.04,-28.32,25.0,25.1,-34213.536,2.0
1267,01/09/2009,0.0,-29.18,-28.42,26.1,25.6,-36434.88,2.0
1268,02/09/2009,0.0,-29.2,-28.43,26.5,25.6,-36428.832,2.0
1269,03/09/2009,0.0,-29.15,-28.42,26.2,25.5,-35246.016,2.0
1270,04/09/2009,0.0,-29.17,-28.42,26.9,26.2,-34475.328,2.0
1271,05/09/2009,0.0,-29.18,-28.44,25.0,25.0,-34810.56,2.0
1272,06/09/2009,0.0,-29.11,-28.44,21.5,21.3,-30799.008,2.0
1273,07/09/2009,0.0,-29.05,-28.41,19.7,19.4,-31395.168,2.0
1274,08/09/2009,0.0,-29.2,-28.45,19.9,19.6,-33964.704,2.0
1275,09/09/2009,0.0,-29.19,-28.45,20.2,19.7,-33697.728,2.0
1276,10/09/2009,0.0,-29.22,-28.47,18.9,18.8,-34410.528,2.0
1277,11/09/2009,0.0,-29.19,-28.45,20.5,20.0,-33999.264,2.0
1278,12/09/2009,0.0,-29.2,-28.45,20.6,20.2,-34445.952,2.0
1279,13/09/2009,0.0,-29.0,-28.39,19.7,19.3,-30416.256,2.0
1280,14/09/2009,0.0,-29.13,-28.39,18.7,17.5,-32690.304,2.0
1281,15/09/2009,0.0,-29.07,-28.43,18.8,18.3,-34436.448,2.0
1282,16/09/2009,0.0,-28.86,-28.33,20.2,19.8,-30934.656,2.0
1283,17/09/2009,0.0,-28.81,-28.32,19.9,19.6,-31421.952,2.0
1284,18/09/2009,0.0,-28.83,-28.34,19.5,18.8,-31551.552,2.0
1285,19/09/2009,0.4,-29.02,-28.38,20.0,19.6,-34141.824,2.0
1286,20/09/2009,13.2,-28.98,-28.42,18.5,18.3,-32908.896,2.1
1287,21/09/2009,0.0,-28.73,-28.3,19.6,19.3,-29136.672,2.0
1288,22/09/2009,0.0,-28.9,-28.35,21.6,21.1,-31655.232,2.0
1289,23/09/2009,0.0,-28.97,-28.38,19.8,20.3,-32765.472,2.0
1290,24/09/2009,0.0,-28.99,-28.37,20.0,21.1,-34190.208,2.0
1291,25/09/2009,0.0,-29.27,-28.48,21.5,20.7,-37068.192,2.0
1292,26/09/2009,0.0,-29.34,-28.56,21.5,21.4,-36998.208,2.0
1293,27/09/2009,0.0,-29.3,-28.57,20.7,21.8,-35356.608,2.0
1294,28/09/2009,0.0,-29.32,-28.58,20.4,20.4,-35594.208,2.1
1295,29/09/2009,0.0,-29.34,-28.6,19.9,19.0,-35855.136,1.9
1296,30/09/2009,0.0,-29.36,-28.61,19.5,18.5,-36109.152,1.9
1297,01/10/2009,0.0,-29.33,-28.61,19.0,18.0,-36187.776,1.9
1298,02/10/2009,0.0,-29.35,-28.57,18.7,18.3,-36263.808,1.9
1299,03/10/2009,0.0,-29.44,-28.66,18.0,17.5,-36478.944,1.9
1300,04/10/2009,0.0,-29.37,-28.66,17.1,16.7,-35506.944,1.9
1301,05/10/2009,0.0,-29.24,-28.67,19.5,18.7,-35087.04,1.9
1302,06/10/2009,0.0,-29.46,-28.74,19.2,18.4,-36681.984,1.9
1303,07/10/2009,0.0,-29.48,-28.74,19.3,18.6,-37385.28,1.9
1304,08/10/2009,0.0,-29.51,-28.75,19.6,19.0,-37374.912,1.9
1305,09/10/2009,0.0,-29.52,-28.76,20.6,20.1,-38091.168,1.9
1306,10/10/2009,0.0,-29.43,-28.72,18.5,17.9,-34591.968,2.0
1307,11/10/2009,0.1,-29.28,-28.66,18.3,18.1,-33645.024,2.0
1308,12/10/2009,10.6,-29.31,-28.61,13.8,13.2,-33960.384,2.0
1309,13/10/2009,0.0,-29.32,-28.7,10.7,10.7,-32513.184,2.0
1310,14/10/2009,0.0,-29.28,-28.69,8.8,8.4,-31650.048,2.0
1311,15/10/2009,0.0,-29.31,-28.67,7.4,8.6,-33220.8,1.9
1312,16/10/2009,0.0,-29.4,-28.73,9.0,9.0,-35017.056,1.9
1313,17/10/2009,0.0,-29.42,-28.73,8.7,8.7,-36504.864,1.9
1314,18/10/2009,0.0,-29.38,-28.71,10.2,10.3,-34008.768,1.9
1315,19/10/2009,0.0,-29.37,-28.74,8.7,8.5,-34739.712,1.9
1316,20/10/2009,0.0,-29.46,-28.75,7.4,7.2,-35222.688,1.9
1317,21/10/2009,0.0,-29.37,-28.73,12.5,12.1,-33907.68,1.9
1318,22/10/2009,0.0,-29.24,-28.65,15.6,15.0,-33602.688,2.0
1319,23/10/2009,0.0,-29.36,-28.67,13.3,13.8,-33815.232,2.0
1320,24/10/2009,0.0,-29.56,-28.77,13.7,13.5,-35671.968,2.0
1321,25/10/2009,0.0,-29.7,-28.9,14.3,14.6,-37029.312,2.0
1322,26/10/2009,0.0,-29.61,-28.9,13.0,13.8,-35036.064,2.0
1323,27/10/2009,0.0,-29.69,-28.96,13.0,13.0,-36735.552,2.0
1324,28/10/2009,0.0,-29.68,-28.94,12.9,13.4,-36198.144,2.0
1325,29/10/2009,0.0,-29.72,-28.98,10.5,10.5,-36804.672,1.9
1326,30/10/2009,0.0,-29.76,-29.01,11.3,11.5,-37310.112,2.0
1327,31/10/2009,0.0,-29.79,-29.03,9.8,9.3,-37404.288,2.0
1328,01/11/2009,0.0,-29.66,-28.98,7.5,7.1,-34892.64,2.0
1329,02/11/2009,0.0,-29.6,-28.89,7.0,6.5,-33908.544,2.0
1330,03/11/2009,0.0,-29.59,-28.82,10.0,9.6,-35786.016,2.0
1331,04/11/2009,7.1,-29.68,-28.93,8.9,8.5,-37169.28,2.0
1332,05/11/2009,0.1,-29.76,-28.99,11.2,10.9,-37692.0,2.0
1333,06/11/2009,0.0,-29.69,-28.98,9.9,9.6,-35909.568,2.0
1334,07/11/2009,0.0,-29.75,-29.03,9.7,9.5,-37268.64,2.0
1335,08/11/2009,10.8,-29.7,-28.97,8.7,8.2,-36380.448,2.0
1336,09/11/2009,4.4,-29.61,-28.99,9.5,9.6,-34445.088,2.1
1337,10/11/2009,0.0,-29.62,-28.98,8.9,9.2,-33810.048,2.1
1338,11/11/2009,0.0,-29.71,-29.04,7.7,7.9,-35766.144,2.0
1339,12/11/2009,0.0,-29.74,-29.1,5.9,5.7,-34731.072,2.0
1340,13/11/2009,0.0,-29.67,-29.08,6.9,6.8,-32858.784,2.0
1341,14/11/2009,0.0,-29.65,-29.03,10.4,10.2,-33280.416,2.0
1342,15/11/2009,0.0,-29.57,-28.97,13.0,12.5,-31205.952,2.0
1343,16/11/2009,0.0,-29.59,-28.96,13.5,13.0,-32047.488,2.0
1344,17/11/2009,0.0,-29.61,-28.98,12.0,12.0,-32050.944,2.0
1345,18/11/2009,0.0,-29.7,-29.05,9.8,10.3,-33141.312,2.0
1346,19/11/2009,0.0,-29.73,-29.07,9.0,9.6,-33681.312,2.0
1347,20/11/2009,0.0,-29.83,-29.12,9.0,9.4,-34930.656,2.0
1348,21/11/2009,0.0,-29.84,-29.11,8.2,8.7,-34130.592,2.0
1349,22/11/2009,0.0,-29.81,-29.09,6.5,6.2,-32762.88,2.0
1350,23/11/2009,0.0,-29.88,-29.11,11.9,11.6,-32515.776,2.0
