,Date,Rainfall_Castel_del_Piano,Rainfall_Abbadia_S_Salvatore,Rainfall_S_Fiora,Rainfall_Laghetto_Verde,Rainfall_Vetta_Amiata,Depth_to_Groundwater_S_Fiora_8,Depth_to_Groundwater_S_Fiora_11bis,Depth_to_Groundwater_David_Lazzaretti,Temperature_Abbadia_S_Salvatore,Temperature_S_Fiora,Temperature_Laghetto_Verde,Flow_Rate_Bugnano,Flow_Rate_Arbure,Flow_Rate_Ermicciolo,Flow_Rate_Galleria_Alta
5518,09/02/2015,0.4,0.0,0.0,0.8,3.8,-36.55,-50.5,-293.17,11.85,-1.4,-1.65,0.0,0.0,-6.469258242,-26.08955357
5519,10/02/2015,0.0,0.0,0.0,0.0,0.4,-36.56,-50.5,-293.15,11.85,5.8,5.3,0.0,0.0,-6.469258242,-26.08955357
5520,11/02/2015,0.0,0.0,0.0,0.0,9.0,-36.56,-50.51,-293.16,11.85,6.75,4.85,0.0,0.0,-6.469258242,-26.08955357
5521,12/02/2015,0.0,0.0,0.0,0.0,0.0,-36.57,-50.51,-293.2,11.85,5.6,5.3,0.0,0.0,-6.469258242,-26.08955357
5522,13/02/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.52,-293.23,11.85,4.45,2.65,0.0,0.0,-6.469258242,-26.08955357
5523,14/02/2015,5.8,0.0,0.0,0.0,3.6,-36.59,-50.53,-293.3,11.85,4.25,3.0,0.0,0.0,-6.469258242,-26.08955357
5524,15/02/2015,6.6,0.0,0.0,9.4,8.0,-36.59,-50.53,-293.35,11.85,4.85,3.1,0.0,0.0,-6.14579533,-24.78507589
5525,16/02/2015,1.0,0.0,0.0,6.2,8.8,-36.59,-50.53,-293.35,11.85,6.1,3.8,0.0,0.0,-6.469258242,-26.08955357
5526,17/02/2015,0.2,0.0,0.0,0.8,5.6,-36.6,-50.54,-293.3,11.85,6.45,4.15,0.0,0.0,-6.469258242,-26.08955357
5527,18/02/2015,0.2,0.0,0.0,0.0,0.0,-36.61,-50.55,-293.28,11.85,4.2,2.55,0.0,0.0,-6.469258242,-26.08955357
5528,19/02/2015,0.0,0.0,0.0,0.0,0.0,-36.63,-50.56,-293.29,11.85,2.05,1.9,0.0,0.0,-6.469258242,-26.08955357
5529,20/02/2015,0.0,0.0,0.0,0.0,0.0,-36.63,-50.56,-293.36,11.85,2.8,2.5,0.0,0.0,-6.469258242,-26.08955357
5530,21/02/2015,1.4,0.0,0.0,4.0,1.8,-36.62,-50.55,-293.48,11.85,3.45,1.85,0.0,0.0,-6.469258242,-26.08955357
5531,22/02/2015,20.0,0.0,0.0,18.0,25.8,-36.61,-50.54,-293.58,11.85,6.0,4.7,0.0,0.0,-6.14579533,-24.78507589
5532,23/02/2015,1.2,0.0,0.0,1.6,7.0,-36.61,-50.54,-293.53,11.85,4.55,4.65,0.0,0.0,-6.469258242,-26.08955357
5533,24/02/2015,0.0,0.0,0.0,0.0,0.2,-36.6,-50.54,-293.55,11.85,7.1,5.15,0.0,0.0,-6.469258242,-26.08955357
5534,25/02/2015,12.0,0.0,0.0,17.0,14.8,-36.6,-50.54,-293.53,11.85,4.5,2.6,0.0,0.0,-6.469258242,-26.08955357
5535,26/02/2015,0.0,0.0,0.0,0.0,1.4,-36.61,-50.54,-293.47,11.85,5.4,2.65,0.0,0.0,-6.469258242,-26.08955357
5536,27/02/2015,0.0,0.0,0.0,0.0,0.4,-36.61,-50.54,-293.48,11.85,4.15,4.1,0.0,0.0,-6.469258242,-26.08955357
5537,28/02/2015,0.0,0.0,0.0,0.0,0.0,-36.62,-50.55,-293.46,11.85,4.25,3.65,0.0,0.0,-6.469258242,-26.08955357
5538,01/03/2015,0.0,0.0,0.0,0.0,0.0,-36.62,-50.55,-293.45,11.85,4.05,3.45,0.0,0.0,-5.514932882,-22.43329605
5539,02/03/2015,0.0,0.0,0.0,10.0,1.2,-36.62,-50.55,-293.48,11.85,8.45,7.4,0.0,0.0,-5.805192508,-23.61399584
5540,03/03/2015,0.0,0.0,0.0,2.4,0.2,-36.63,-50.56,-293.46,11.85,9.05,7.75,0.0,0.0,-5.805192508,-23.61399584
5541,04/03/2015,0.0,0.0,0.0,0.0,0.0,-36.63,-50.56,-293.48,11.85,6.3,5.35,0.0,0.0,-5.805192508,-23.61399584
5542,05/03/2015,31.6,0.0,0.0,38.0,15.8,-36.61,-50.55,-293.58,11.85,2.65,1.6,0.0,0.0,-5.805192508,-23.61399584
5543,06/03/2015,2.6,0.0,0.0,0.0,0.0,-36.62,-50.55,-293.5,11.85,1.65,0.35,0.0,0.0,-5.805192508,-23.61399584
5544,07/03/2015,0.2,0.0,0.0,0.0,0.0,-36.62,-50.55,-293.49,11.85,2.85,1.5,0.0,0.0,-5.805192508,-23.61399584
5545,08/03/2015,0.0,0.0,0.0,0.0,1.6,-36.62,-50.55,-293.52,11.85,3.0,2.5,0.0,0.0,-5.514932882,-22.43329605
5546,09/03/2015,0.0,0.0,0.0,0.0,0.0,-36.62,-50.55,-293.53,11.85,3.85,3.2,0.0,0.0,-5.805192508,-23.61399584
5547,10/03/2015,0.0,0.0,0.0,0.0,0.2,-36.62,-50.55,-293.52,11.85,4.05,3.7,0.0,0.0,-5.805192508,-23.61399584
5548,11/03/2015,0.0,0.0,0.0,0.0,0.0,-36.62,-50.55,-293.55,11.85,6.45,6.3,0.0,0.0,-5.805192508,-23.61399584
5549,12/03/2015,0.0,0.0,0.0,0.0,0.0,-36.63,-50.55,-293.58,11.85,3.5,3.2,0.0,0.0,-5.805192508,-23.61399584
5550,13/03/2015,0.0,0.0,0.0,0.0,0.0,-36.63,-50.55,-293.59,11.85,3.6,3.95,0.0,0.0,-5.805192508,-23.61399584
5551,14/03/2015,0.0,0.0,0.0,0.0,0.0,-36.63,-50.56,-293.58,11.85,4.7,4.0,0.0,0.0,-5.805192508,-23.61399584
5552,15/03/2015,0.0,0.0,0.0,0.0,0.0,-36.63,-50.56,-293.58,11.85,5.2,3.0,0.0,0.0,-5.514932882,-22.43329605
5553,16/03/2015,33.2,0.0,0.0,59.4,29.2,-36.61,-50.54,-293.56,11.85,5.65,4.2,0.0,0.0,-5.805192508,-23.61399584
5554,17/03/2015,31.6,0.0,0.0,53.6,61.8,-36.59,-50.53,-293.57,11.85,7.9,5.55,0.0,0.0,-5.805192508,-23.61399584
5555,18/03/2015,0.0,0.0,0.0,1.6,7.8,-36.58,-50.52,-293.58,11.85,6.7,6.05,0.0,0.0,-5.805192508,-23.61399584
5556,19/03/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.52,-293.59,11.85,7.4,6.7,0.0,0.0,-5.805192508,-23.61399584
5557,20/03/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.52,-293.59,11.85,6.25,6.25,0.0,0.0,-5.805192508,-23.61399584
5558,21/03/2015,0.0,0.0,0.0,0.0,0.0,-36.58,-50.52,-293.62,11.85,5.9,5.6,0.0,0.0,-5.805192508,-23.61399584
5559,22/03/2015,0.0,0.0,0.0,1.2,1.8,-36.58,-50.51,-293.66,11.85,5.95,4.05,0.0,0.0,-5.514932882,-22.43329605
5560,23/03/2015,0.0,0.0,0.0,0.0,0.2,-36.58,-50.52,-293.62,11.85,7.9,7.6,0.0,0.0,-5.805192508,-23.61399584
5561,24/03/2015,0.2,0.0,0.0,2.4,2.2,-36.58,-50.51,-293.62,11.85,9.5,8.7,0.0,0.0,-5.805192508,-23.61399584
5562,25/03/2015,7.2,0.0,0.0,14.2,13.0,-36.56,-50.5,-293.71,11.85,8.55,6.7,0.0,0.0,-5.805192508,-23.61399584
5563,26/03/2015,28.6,0.0,0.0,66.2,62.2,-36.54,-50.48,-293.61,11.85,9.3,8.55,0.0,0.0,-5.805192508,-23.61399584
5564,27/03/2015,0.2,0.0,0.0,2.6,1.8,-36.52,-50.47,-293.56,11.85,7.0,6.35,0.0,0.0,-5.805192508,-23.61399584
5565,28/03/2015,15.4,0.0,0.0,8.2,7.0,-36.52,-50.47,-293.49,11.85,8.1,6.5,0.0,0.0,-5.805192508,-23.61399584
5566,29/03/2015,0.0,0.0,0.0,0.0,0.0,-36.53,-50.47,-293.46,11.85,9.75,8.4,0.0,0.0,-5.514932882,-22.43329605
5567,30/03/2015,0.0,0.0,0.0,0.0,0.0,-36.53,-50.47,-293.47,11.85,10.95,10.0,0.0,0.0,-5.805192508,-23.61399584
5568,31/03/2015,0.0,0.0,0.0,0.0,0.0,-36.53,-50.48,-293.41,10.6,12.2,11.6,0.0,0.0,-5.805192508,-23.61399584
5569,01/04/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.48,-293.37,10.65,10.0,9.75,0.0,0.0,-6.268588889,-24.46752222
5570,02/04/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.48,-293.31,10.2,8.15,8.3,0.0,0.0,-6.268588889,-24.46752222
5571,03/04/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.48,-293.28,7.6,7.4,6.85,0.0,0.0,-6.268588889,-24.46752222
5572,04/04/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.48,-293.3,6.9,6.8,5.65,0.0,0.0,-6.268588889,-24.46752222
5573,05/04/2015,16.8,31.1,0.0,31.0,18.6,-36.53,-50.47,-293.31,2.6,3.55,2.25,0.0,0.0,-5.955159444,-23.24414611
5574,06/04/2015,0.8,1.4,0.0,0.6,2.0,-36.54,-50.48,-293.18,2.85,2.15,2.45,0.0,0.0,-6.268588889,-24.46752222
5575,07/04/2015,0.0,0.0,0.0,0.0,0.2,-36.55,-50.49,-293.07,1.55,2.15,1.5,0.0,0.0,-6.268588889,-24.46752222
5576,08/04/2015,0.0,0.0,0.0,0.2,0.2,-36.56,-50.49,-293.02,5.8,6.5,5.75,0.0,0.0,-6.268588889,-24.46752222
5577,09/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.5,-292.99,8.9,8.0,7.15,0.0,0.0,-6.268588889,-24.46752222
5578,10/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.5,-292.97,11.1,9.0,8.3,0.0,0.0,-6.268588889,-24.46752222
5579,11/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.5,-292.96,8.45,6.25,6.95,0.0,0.0,-6.268588889,-24.46752222
5580,12/04/2015,0.0,0.0,0.0,0.0,0.0,-36.57,-50.5,-292.93,10.1,9.6,8.9,0.0,0.0,-5.955159444,-23.24414611
5581,13/04/2015,0.0,0.2,0.0,0.0,0.0,-36.57,-50.5,-292.89,12.45,10.9,10.95,0.0,0.0,-6.268588889,-24.46752222
5582,14/04/2015,0.0,0.0,0.0,0.0,0.0,-36.57,-50.5,-292.88,15.4,13.0,13.45,0.0,0.0,-6.268588889,-24.46752222
5583,15/04/2015,0.0,0.0,0.0,0.0,0.0,-36.57,-50.5,-292.87,14.95,12.95,12.85,0.0,0.0,-6.268588889,-24.46752222
5584,16/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.5,-292.86,14.4,11.1,12.1,0.0,0.0,-6.268588889,-24.46752222
5585,17/04/2015,0.0,0.4,0.0,0.6,0.4,-36.56,-50.49,-292.86,12.25,11.1,10.5,0.0,0.0,-6.268588889,-24.46752222
5586,18/04/2015,0.0,0.0,0.0,0.2,0.4,-36.56,-50.49,-292.85,11.6,11.55,10.6,0.0,0.0,-6.268588889,-24.46752222
5587,19/04/2015,0.0,0.2,0.0,0.0,0.0,-36.56,-50.49,-292.79,8.35,9.65,7.95,0.0,0.0,-5.955159444,-23.24414611
5588,20/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.49,-292.73,9.9,9.15,9.1,0.0,0.0,-6.268588889,-24.46752222
5589,21/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.49,-292.65,13.05,12.2,11.8,0.0,0.0,-6.268588889,-24.46752222
5590,22/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.49,-292.59,14.8,12.9,13.1,0.0,0.0,-6.268588889,-24.46752222
5591,23/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.49,-292.6,12.2,10.9,10.8,0.0,0.0,-6.268588889,-24.46752222
5592,24/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.49,-292.58,12.05,12.4,10.7,0.0,0.0,-6.268588889,-24.46752222
5593,25/04/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.49,-292.51,12.1,11.4,10.1,0.0,0.0,-6.268588889,-24.46752222
5594,26/04/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-292.49,14.6,11.9,11.6,0.0,0.0,-5.955159444,-23.24414611
5595,27/04/2015,1.2,0.6,0.0,1.4,2.0,-36.55,-50.48,-292.5,10.0,9.1,8.75,0.0,0.0,-6.268588889,-24.46752222
5596,28/04/2015,27.0,36.0,0.0,43.2,41.4,-36.54,-50.47,-292.47,9.6,10.15,9.65,0.0,0.0,-6.268588889,-24.46752222
5597,29/04/2015,0.8,1.2,0.0,1.4,3.6,-36.55,-50.48,-292.33,11.75,10.6,10.15,0.0,0.0,-6.268588889,-24.46752222
5598,30/04/2015,7.0,4.2,0.0,3.4,7.0,-36.55,-50.48,-292.26,10.75,9.75,9.6,0.0,0.0,-6.268588889,-24.46752222
5599,01/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-292.23,10.25,8.9,8.9,0.0,0.0,-6.238022893,-23.52961498
5600,02/05/2015,0.2,0.4,0.0,0.4,0.8,-36.55,-50.48,-292.22,13.6,14.45,13.45,0.0,0.0,-6.238022893,-23.52961498
5601,03/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-292.17,14.5,13.45,13.7,0.0,0.0,-5.926121748,-22.35313424
5602,04/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-292.12,17.85,16.35,18.3,0.0,0.0,-6.238022893,-23.52961498
5603,05/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-292.1,20.7,18.8,19.3,0.0,0.0,-6.238022893,-23.52961498
5604,06/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-292.05,20.4,19.45,18.95,0.0,0.0,-6.238022893,-23.52961498
5605,07/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-292.01,18.4,15.95,16.05,0.0,0.0,-6.238022893,-23.52961498
5606,08/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-291.98,16.6,14.45,14.3,0.0,0.0,-6.238022893,-23.52961498
5607,09/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-291.95,16.0,15.35,14.75,0.0,0.0,-6.238022893,-23.52961498
5608,10/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-291.88,16.8,15.45,15.45,0.0,0.0,-5.926121748,-22.35313424
5609,11/05/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.49,-291.83,17.35,15.25,15.45,0.0,0.0,-6.238022893,-23.52961498
5610,12/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.49,-291.8,18.2,16.75,16.55,0.0,0.0,-6.238022893,-23.52961498
5611,13/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.48,-291.79,17.9,15.95,16.3,0.0,0.0,-6.238022893,-23.52961498
5612,14/05/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.47,-291.87,17.65,14.25,15.75,0.0,0.0,-6.238022893,-23.52961498
5613,15/05/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.47,-291.94,14.6,12.85,13.0,0.0,0.0,-6.238022893,-23.52961498
5614,16/05/2015,0.2,0.0,0.0,0.2,0.2,-36.56,-50.47,-291.86,12.85,10.35,10.7,0.0,0.0,-6.238022893,-23.52961498
5615,17/05/2015,0.2,0.0,0.0,0.0,0.6,-36.56,-50.47,-291.81,17.9,17.55,16.95,0.0,0.0,-5.926121748,-22.35313424
5616,18/05/2015,0.0,0.0,0.0,0.0,0.0,-36.56,-50.47,-291.79,19.65,17.1,17.9,0.0,0.0,-6.238022893,-23.52961498
5617,19/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.46,-291.79,17.9,16.95,16.25,0.0,0.0,-6.238022893,-23.52961498
5618,20/05/2015,0.0,0.0,0.0,0.0,0.0,-36.55,-50.46,-291.75,14.05,13.3,12.55,0.0,0.0,-6.238022893,-23.52961498
5619,21/05/2015,0.0,0.0,0.0,0.0,0.2,-36.55,-50.46,-291.72,11.45,10.9,9.7,0.0,0.0,-6.238022893,-23.52961498
5620,22/05/2015,0.0,0.0,0.0,0.0,0.0,-38.114999999999995,-50.46,-291.7,7.4,6.3,6.1,0.0,0.0,-6.238022893,-23.52961498
5621,23/05/2015,17.6,21.6,0.0,22.2,27.4,-38.114999999999995,-50.45,-291.67,9.4,9.05,9.05,0.0,0.0,-6.238022893,-23.52961498
5622,24/05/2015,12.4,15.9,0.0,14.0,14.4,-38.114999999999995,-50.45,-291.62,11.0,10.5,10.4,0.0,0.0,-5.926121748,-22.35313424
5623,25/05/2015,0.0,0.4,0.0,1.6,1.8,-38.114999999999995,-50.45,-291.58,13.6,12.5,11.5,0.0,0.0,-6.238022893,-23.52961498
5624,26/05/2015,0.0,0.0,0.0,0.0,0.0,-38.114999999999995,-50.45,-291.61,11.9,11.5,10.65,0.0,0.0,-6.238022893,-23.52961498
5625,27/05/2015,6.4,9.2,0.0,6.2,0.8,-38.114999999999995,-50.45,-291.64,11.6,11.2,10.55,0.0,0.0,-6.238022893,-23.52961498
5626,28/05/2015,0.0,0.0,0.0,0.0,0.0,-38.114999999999995,-50.46,-291.57,12.65,11.7,12.0,0.0,0.0,-6.238022893,-23.52961498
5627,29/05/2015,0.0,0.0,0.0,0.0,0.0,-38.114999999999995,-50.45,-291.55,16.3,14.0,13.75,0.0,0.0,-6.238022893,-23.52961498
5628,30/05/2015,0.0,0.0,0.0,0.0,0.0,-38.114999999999995,-50.45,-291.52,15.0,13.35,13.2,0.0,0.0,-6.238022893,-23.52961498
5629,31/05/2015,0.0,0.0,0.0,0.0,0.0,-38.114999999999995,-50.45,-291.48,16.45,14.35,14.3,0.0,0.0,-5.926121748,-22.35313424
5630,01/06/2015,0.0,0.2,0.0,5.0,0.0,-38.114999999999995,-50.45,-291.44,17.9,15.85,15.35,0.0,0.0,-5.777072414,-24.54917778
5631,02/06/2015,0.0,0.0,0.0,2.0,8.8,-38.114999999999995,-50.45,-291.41,17.65,16.25,16.3,0.0,0.0,-5.777072414,-24.54917778
5632,03/06/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.45,-291.38,19.2,16.7,16.65,0.0,0.0,-5.777072414,-24.54917778
5633,04/06/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.45,-291.36,20.55,20.0,19.45,0.0,0.0,-5.777072414,-24.54917778
5634,05/06/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.45,-291.36,22.0,19.65,19.75,0.0,0.0,-5.777072414,-24.54917778
5635,06/06/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.45,-291.33,22.65,20.15,20.0,0.0,0.0,-5.777072414,-24.54917778
5636,07/06/2015,0.0,0.0,0.0,0.0,0.0,-36.54,-50.44,-291.32,20.7,19.75,19.55,0.0,0.0,-5.488218793,-23.32171889
5637,08/06/2015,1.0,1.8,0.0,2.0,7.2,-36.53,-50.44,-291.33,19.85,20.0,18.75,0.0,0.0,-5.777072414,-24.54917778
5638,09/06/2015,2.4,0.4,0.0,0.8,17.0,-36.52,-50.43,-291.33,18.9,16.45,16.45,0.0,0.0,-5.777072414,-24.54917778
5639,10/06/2015,14.0,1.0,0.0,8.0,16.8,-36.52,-50.43,-291.3,19.8,18.25,17.7,0.0,0.0,-5.777072414,-24.54917778
5640,11/06/2015,0.0,0.0,0.0,0.2,7.6,-36.52,-50.43,-291.28,20.8,18.25,18.2,0.0,0.0,-5.777072414,-24.54917778
5641,12/06/2015,0.0,0.0,0.0,0.0,0.4,-36.52,-50.43,-291.26,20.95,18.0,17.35,0.0,0.0,-5.777072414,-24.54917778
5642,13/06/2015,0.0,0.0,0.0,0.0,0.2,-36.52,-50.43,-291.25,20.5,18.15,17.9,0.0,0.0,-5.777072414,-24.54917778
5643,14/06/2015,0.0,0.0,0.0,0.2,0.4,-36.51,-50.43,-291.26,17.95,17.55,16.65,0.0,0.0,-5.488218793,-23.32171889
5644,15/06/2015,1.0,6.5,0.0,7.4,8.8,-36.51,-50.43,-291.23,17.25,15.7,14.75,0.0,0.0,-5.777072414,-24.54917778
5645,16/06/2015,0.0,3.9,0.0,6.4,4.2,-36.51,-50.42,-291.2,17.55,16.25,15.1,0.0,0.0,-5.777072414,-24.54917778
5646,17/06/2015,2.4,12.0,0.0,8.0,10.6,-36.51,-50.42,-291.2,15.25,15.65,14.8,0.0,0.0,-5.777072414,-24.54917778
5647,18/06/2015,3.2,7.1,0.0,6.2,3.2,-36.51,-50.42,-291.2,15.6,15.15,15.15,0.0,0.0,-5.777072414,-24.54917778
